Electrode,TrialType,FreqBand,TimePoint,Power
14,NSNT,thetaBand,Post,5575.9305
14,NSNT,alphaBand,Post,77.8248
14,NSNT,betaBand,Post,4.4614
14,NSNT,gammaBand,Post,0.0081003
15,NSNT,deltaBand,Post,4592808.5214
15,NSNT,thetaBand,Post,4672.2755
15,NSNT,alphaBand,Post,76.4945
15,NSNT,betaBand,Post,4.4249
15,NSNT,gammaBand,Post,0.0096455
16,NSNT,deltaBand,Post,3247652.8253
16,NSNT,thetaBand,Post,3822.0183
16,NSNT,alphaBand,Post,95.7826
16,NSNT,betaBand,Post,4.8557
16,NSNT,gammaBand,Post,0.0045769
6,NSFT,deltaBand,Pre,37676015.4314
6,NSFT,thetaBand,Pre,37453.8636
6,NSFT,alphaBand,Pre,323.5732
6,NSFT,betaBand,Pre,17.6955
6,NSFT,gammaBand,Pre,0.017719
7,NSFT,deltaBand,Pre,14280148.7556
7,NSFT,thetaBand,Pre,14903.4473
7,NSFT,alphaBand,Pre,153.0928
7,NSFT,betaBand,Pre,8.0944
7,NSFT,gammaBand,Pre,0.014579
8,NSFT,deltaBand,Pre,20424135.6354
8,NSFT,thetaBand,Pre,12879.6394
8,NSFT,alphaBand,Pre,266.6512
8,NSFT,betaBand,Pre,11.5128
8,NSFT,gammaBand,Pre,0.0088876
9,NSFT,deltaBand,Pre,17415116.9668
9,NSFT,thetaBand,Pre,14550.962
9,NSFT,alphaBand,Pre,258.8195
9,NSFT,betaBand,Pre,11.2978
9,NSFT,gammaBand,Pre,0.012381
10,NSFT,deltaBand,Pre,9272280.1987
10,NSFT,thetaBand,Pre,6145.142
10,NSFT,alphaBand,Pre,83.8702
10,NSFT,betaBand,Pre,5.6318
10,NSFT,gammaBand,Pre,0.0053578
11,NSFT,deltaBand,Pre,8087125.7252
11,NSFT,thetaBand,Pre,6655.4517
11,NSFT,alphaBand,Pre,243.7432
11,NSFT,betaBand,Pre,15.0225
11,NSFT,gammaBand,Pre,0.012997
12,NSFT,deltaBand,Pre,4834278.4382
12,NSFT,thetaBand,Pre,3892.8267
12,NSFT,alphaBand,Pre,159.3886
12,NSFT,betaBand,Pre,10.6153
12,NSFT,gammaBand,Pre,0.013492
13,NSFT,deltaBand,Pre,2728297.0183
13,NSFT,thetaBand,Pre,3005.1295
13,NSFT,alphaBand,Pre,49.4804
13,NSFT,betaBand,Pre,3.6376
13,NSFT,gammaBand,Pre,0.0038999
14,NSFT,deltaBand,Pre,20631416.1316
14,NSFT,thetaBand,Pre,8639.0867
14,NSFT,alphaBand,Pre,650.3318
14,NSFT,betaBand,Pre,56.5049
14,NSFT,gammaBand,Pre,0.083276
15,NSFT,deltaBand,Pre,9367243.7911
15,NSFT,thetaBand,Pre,6558.9558
15,NSFT,alphaBand,Pre,397.8373
15,NSFT,betaBand,Pre,35.0639
15,NSFT,gammaBand,Pre,0.040545
16,NSFT,deltaBand,Pre,4126951.0057
16,NSFT,thetaBand,Pre,5145.4157
16,NSFT,alphaBand,Pre,114.8304
16,NSFT,betaBand,Pre,5.2792
16,NSFT,gammaBand,Pre,0.0059395
6,NSFT,deltaBand,Tele,25464158.0618
6,NSFT,thetaBand,Tele,30585.9781
6,NSFT,alphaBand,Tele,650.4428
6,NSFT,betaBand,Tele,28.125
6,NSFT,gammaBand,Tele,0.035381
7,NSFT,deltaBand,Tele,9595457.6858
7,NSFT,thetaBand,Tele,12847.7034
7,NSFT,alphaBand,Tele,369.7057
7,NSFT,betaBand,Tele,13.8094
7,NSFT,gammaBand,Tele,0.016099
8,NSFT,deltaBand,Tele,18856966.6251
8,NSFT,thetaBand,Tele,13371.4258
8,NSFT,alphaBand,Tele,736.6011
8,NSFT,betaBand,Tele,41.3625
8,NSFT,gammaBand,Tele,0.022659
9,NSFT,deltaBand,Tele,19862727.0172
9,NSFT,thetaBand,Tele,16656.8131
9,NSFT,alphaBand,Tele,624.8665
9,NSFT,betaBand,Tele,28.9277
9,NSFT,gammaBand,Tele,0.029801
10,NSFT,deltaBand,Tele,8285690.6918
10,NSFT,thetaBand,Tele,5741.2593
10,NSFT,alphaBand,Tele,113.8796
10,NSFT,betaBand,Tele,5.1168
10,NSFT,gammaBand,Tele,0.0069165
11,NSFT,deltaBand,Tele,12307718.1637
11,NSFT,thetaBand,Tele,7433.5349
11,NSFT,alphaBand,Tele,248.0942
11,NSFT,betaBand,Tele,20.9944
11,NSFT,gammaBand,Tele,0.01788
12,NSFT,deltaBand,Tele,6560493.0156
12,NSFT,thetaBand,Tele,4095.6279
12,NSFT,alphaBand,Tele,122.0129
12,NSFT,betaBand,Tele,9.7998
12,NSFT,gammaBand,Tele,0.017003
13,NSFT,deltaBand,Tele,4585630.5955
